title;char;price
Смартфон Xiaomi Redmi 9C 3/64GB, черный M2006C3MNG;Диагональ экрана: 6.53Оперативная память: 3 ГБВстроенная память: 64 ГБРазрешение основной камеры: 13Процессор: Helio G35 (8 ядер), 2.3 ГГц;9231
Смартфон Xiaomi Redmi 9A 2/32GB, синий;Диагональ экрана: 6.53Оперативная память: 2 ГБВстроенная память: 32 ГБРазрешение основной камеры: 13Процессор: Helio G25 (8 ядер), 2.0 ГГц;7584
Смартфон Xiaomi Redmi Note 10 Pro 8/128GB, серый Redmi Note 10 Pro;Диагональ экрана: 6.67Оперативная память: 8 ГБВстроенная память: 128 ГБРазрешение основной камеры: 108Процессор: Snapdragon 732G (8 ядер), 2.3 ГГц;24352
Смартфон Poco M3 4/128GB, черный J19C;Диагональ экрана: 6.53Оперативная память: 4 ГБВстроенная память: 128 ГБРазрешение основной камеры: 48Процессор: Snapdragon 662 (8 ядер), 2.0 ГГц;12896
Смартфон Xiaomi Redmi Note 10 Pro 8/128GB, голубой;Диагональ экрана: 6.67Оперативная память: 8 ГБВстроенная память: 128 ГБРазрешение основной камеры: 108Процессор: Snapdragon 732G (8 ядер), 2.3 ГГц;24352
Смартфон Samsung Galaxy A12 4/64GB, черный;Диагональ экрана: 6.5Оперативная память: 4 ГБВстроенная память: 64 ГБРазрешение основной камеры: 48Процессор: Helio P35 (8 ядер), 2.3 ГГц;12870
Смартфон Xiaomi Redmi 9C 3/64GB, оранжевый;Диагональ экрана: 6.53Оперативная память: 3 ГБВстроенная память: 64 ГБРазрешение основной камеры: 13Процессор: Helio P35 (8 ядер), 2.3 ГГц;9487
Смартфон Vivo Y31 4/128GB, синий;Диагональ экрана: 6.58Оперативная память: 4 ГБВстроенная память: 128 ГБРазрешение основной камеры: 48Процессор: Snapdragon 662 (8 ядер), 2.0 ГГц;14940
Смартфон Samsung Galaxy A32 4/128GB, фиолетовый;Диагональ экрана: 6.4Оперативная память: 4 ГБВстроенная память: 128 ГБРазрешение основной камеры: 64Процессор: Helio G80 (8 ядер), 2.0 ГГц;19980
Смартфон Xiaomi Redmi 9T 4/64GB, серый;Диагональ экрана: 6.53Оперативная память: 4 ГБВстроенная память: 64 ГБРазрешение основной камеры: 48Процессор: Snapdragon 662 (8 ядер), 2.0 ГГц;12790
